id,team,standing,percentage,season,diff_standing,diff_percentage,min_per,avg_per,DPOY,MIP,SMOY,COY
1028,"Chicago Bulls",7,0.463,1985,3,0.134,-2,13.15,0,0,0,0
1054,"Chicago Bulls",10,0.329,1984,-1,-0.012,6.9,12.5,0,0,0,0
1076,"Chicago Bulls",9,0.341,1983,0,-0.074,9.2,12.65,0,0,0,0
26,"Chicago Bulls",11,0.431,2021,0,0.093,5.6,13.6,0,0,0,0
56,"Chicago Bulls",11,0.338,2020,2,0.07,0.4,12.8,0,0,0,0
88,"Chicago Bulls",13,0.268,2019,0,-0.061,8.2,14.62,0,0,0,0
118,"Chicago Bulls",13,0.329,2018,-5,-0.171,0,12.71,0,0,0,0
143,"Chicago Bulls",8,0.5,2017,1,-0.012,-13.5,10.74,0,0,0,0
174,"Chicago Bulls",9,0.512,2016,-6,-0.098,-3.2,12.04,0,0,0,0
198,"Chicago Bulls",3,0.61,2015,1,0.025,6.4,13.05,0,1,0,0
227,"Chicago Bulls",4,0.585,2014,1,0.036,2.1,12.81,1,0,0,0
257,"Chicago Bulls",5,0.549,2013,-4,-0.209,-9.1,8.77,0,0,0,0
283,"Chicago Bulls",1,0.758,2012,0,0.002,0,11.53,0,0,0,0
313,"Chicago Bulls",1,0.756,2011,7,0.256,12.3,15.36,0,0,0,1
350,"Chicago Bulls",8,0.5,2010,-1,0,-0.1,12.73,0,0,0,0
378,"Chicago Bulls",7,0.5,2009,4,0.098,-2.2,10.95,0,0,0,0
411,"Chicago Bulls",11,0.402,2008,-6,-0.196,-3.5,12.62,0,0,0,0
435,"Chicago Bulls",5,0.598,2007,2,0.098,-11.8,10.22,0,0,0,0
28,"Cleveland Cavaliers",13,0.306,2021,2,0.014,-10.3,12.79,0,0,0,0
60,"Cleveland Cavaliers",15,0.292,2020,-1,0.06,1.4,12.64,0,0,0,0
89,"Cleveland Cavaliers",14,0.232,2019,-10,-0.378,-11.4,12.35,0,0,0,0
109,"Cleveland Cavaliers",4,0.61,2018,-2,-0.012,-0.7,11,0,0,0,0
137,"Cleveland Cavaliers",2,0.622,2017,-1,-0.073,0.7,13.4,0,0,0,0
166,"Cleveland Cavaliers",1,0.695,2016,1,0.049,-35.3,10.98,0,0,0,0
197,"Cleveland Cavaliers",2,0.646,2015,8,0.244,3.4,13.06,0,0,0,0
233,"Cleveland Cavaliers",10,0.402,2014,3,0.109,3.8,11.82,0,0,0,0
265,"Cleveland Cavaliers",13,0.293,2013,0,-0.025,-6.5,10.6,0,0,0,0
295,"Cleveland Cavaliers",13,0.318,2012,2,0.086,1.3,12.18,0,0,0,0
327,"Cleveland Cavaliers",15,0.232,2011,-14,-0.512,2.1,11.26,0,0,0,0
343,"Cleveland Cavaliers",1,0.744,2010,0,-0.061,4.8,12.08,0,0,0,0
372,"Cleveland Cavaliers",1,0.805,2009,3,0.256,-38.1,9.59,0,0,0,1
404,"Cleveland Cavaliers",4,0.549,2008,-2,-0.061,-9.3,12.06,0,0,0,0
432,"Cleveland Cavaliers",2,0.61,2007,2,0,-20.8,8.92,0,0,0,0
498,"Cleveland Cavaliers",9,0.512,2005,0,0.085,2,12.5,0,0,0,0
642,"Cleveland Cavaliers",11,0.39,2000,0,-0.05,-54.4,9.16,0,0,0,0
695,"Cleveland Cavaliers",6,0.573,1998,3,0.061,-19.7,10.82,0,0,0,0
749,"Cleveland Cavaliers",4,0.573,1996,2,0.049,8,12.78,0,0,0,0
829,"Cleveland Cavaliers",3,0.659,1993,0,-0.036,-0.9,13.12,0,0,0,0
890,"Cleveland Cavaliers",9,0.402,1991,-2,-0.11,6.3,13.69,0,0,0,0
934,"Cleveland Cavaliers",3,0.695,1989,3,0.183,5.9,13.22,0,0,0,0
463,"Cleveland Cavaliers",4,0.61,2006,5,0.098,-0.5,11.87,0,0,0,0
526,"Cleveland Cavaliers",9,0.427,2004,6,0.22,4.3,12.24,0,0,0,0
560,"Cleveland Cavaliers",15,0.207,2003,-1,-0.147,-3.8,11.07,0,0,0,0
587,"Cleveland Cavaliers",14,0.354,2002,-3,-0.012,5.9,11.81,0,0,0,0
613,"Cleveland Cavaliers",11,0.366,2001,0,-0.024,3.2,12.43,0,0,0,0
671,"Cleveland Cavaliers",11,0.44,1999,-5,-0.133,-0.4,10.76,0,0,0,0
726,"Cleveland Cavaliers",9,0.512,1997,-5,-0.061,2.1,11.31,0,0,0,0
778,"Cleveland Cavaliers",6,0.524,1995,0,-0.049,3.1,12.84,0,0,0,0
805,"Cleveland Cavaliers",6,0.573,1994,-3,-0.086,5.1,14.4,0,0,0,0
856,"Cleveland Cavaliers",3,0.695,1992,6,0.293,9.6,15.55,0,0,0,0
914,"Cleveland Cavaliers",7,0.512,1990,-4,-0.183,-6.8,11.72,0,0,0,0
960,"Cleveland Cavaliers",6,0.512,1988,3,0.134,8.7,14.4,0,0,0,0
986,"Cleveland Cavaliers",9,0.378,1987,0,0.024,-4.6,12.41,0,0,0,0
1008,"Cleveland Cavaliers",9,0.354,1986,-1,-0.085,1.8,11.59,0,0,0,0
1029,"Cleveland Cavaliers",8,0.439,1985,1,0.098,6.7,12.41,0,0,0,0
1053,"Cleveland Cavaliers",9,0.341,1984,1,0.061,-2.6,10.89,0,0,0,0
1077,"Cleveland Cavaliers",10,0.28,1983,1,0.097,0.9,12.74,0,0,0,0
1101,"Cleveland Cavaliers",11,0.183,1982,-2,-0.158,3.9,12.05,0,0,0,0
5,"Dallas Mavericks",5,0.583,2021,2,0.01,-12.3,11.6,0,0,0,0
37,"Dallas Mavericks",7,0.573,2020,7,0.171,4.9,12.83,0,0,0,0
74,"Dallas Mavericks",14,0.402,2019,-1,0.109,1.7,14.31,0,0,0,0
103,"Dallas Mavericks",13,0.293,2018,-2,-0.109,-0.9,11.93,0,0,0,0
131,"Dallas Mavericks",11,0.402,2017,-5,-0.11,-12.5,11.05,0,0,0,0
156,"Dallas Mavericks",6,0.512,2016,1,-0.098,-17.6,10.98,0,0,0,0
187,"Dallas Mavericks",7,0.61,2015,1,0.012,7.2,14.93,0,0,0,0
217,"Dallas Mavericks",8,0.598,2014,2,0.098,-22.5,13.54,0,0,0,0
248,"Dallas Mavericks",10,0.5,2013,-3,-0.045,5.4,14.43,0,0,0,0
274,"Dallas Mavericks",7,0.545,2012,-4,-0.15,-19.4,10.79,0,0,0,0
300,"Dallas Mavericks",3,0.695,2011,-1,0.024,-3.4,12.99,0,0,0,0
329,"Dallas Mavericks",2,0.671,2010,4,0.061,7.8,14.27,0,0,0,0
363,"Dallas Mavericks",6,0.61,2009,1,-0.012,3.2,13.33,0,0,1,0
392,"Dallas Mavericks",7,0.622,2008,-6,-0.195,0.5,12.3,0,0,0,0
416,"Dallas Mavericks",1,0.817,2007,3,0.085,-4.4,11.24,0,0,0,0
478,"Dallas Mavericks",4,0.707,2005,1,0.073,2.3,13.28,0,0,0,0
508,"Dallas Mavericks",5,0.634,2004,-2,-0.098,-12.1,11.56,0,0,1,0
535,"Dallas Mavericks",3,0.732,2003,1,0.037,-8.1,14.36,0,0,0,0
593,"Dallas Mavericks",5,0.646,2001,4,0.158,-11.2,12.23,0,0,0,0
657,"Dallas Mavericks",11,0.38,1999,-1,0.136,-9.2,11.55,0,0,0,0
714,"Dallas Mavericks",11,0.293,1997,2,-0.024,0,11.93,0,0,0,0
745,"Dallas Mavericks",13,0.317,1996,-3,-0.122,3.3,11.62,0,0,0,0
826,"Dallas Mavericks",13,0.134,1993,-1,-0.134,4.1,11.66,0,0,0,0
879,"Dallas Mavericks",12,0.341,1991,-6,-0.232,1,11.68,0,0,0,0
900,"Dallas Mavericks",6,0.573,1990,3,0.11,10.3,16.43,0,0,0,0
1014,"Dallas Mavericks",4,0.537,1985,0,0.013,5.3,14.07,0,0,0,0
449,"Dallas Mavericks",4,0.732,2006,0,0.025,2.9,12.51,0,0,0,1
564,"Dallas Mavericks",4,0.695,2002,1,0.049,-2.4,12.73,0,0,0,0
626,"Dallas Mavericks",9,0.488,2000,2,0.108,-20,10.59,0,0,0,0
685,"Dallas Mavericks",10,0.244,1998,1,-0.049,-8.8,12.69,0,0,0,0
769,"Dallas Mavericks",10,0.439,1995,3,0.28,2.4,12.22,0,0,0,0
799,"Dallas Mavericks",13,0.159,1994,0,0.025,8.1,13.52,0,0,0,0
852,"Dallas Mavericks",12,0.268,1992,0,-0.073,5.7,11.48,0,0,0,0
928,"Dallas Mavericks",9,0.463,1989,-6,-0.183,3,13.65,0,0,0,0
945,"Dallas Mavericks",3,0.646,1988,-1,-0.025,7.2,13.84,0,0,1,0
967,"Dallas Mavericks",2,0.671,1987,2,0.134,4.4,14.3,0,0,0,0
992,"Dallas Mavericks",4,0.537,1986,0,0,7.1,14.89,0,0,0,0
1036,"Dallas Mavericks",4,0.524,1984,4,0.061,-7.4,12.59,0,0,0,0
1063,"Dallas Mavericks",8,0.463,1983,2,0.122,2.6,12.92,0,0,0,0
1088,"Dallas Mavericks",10,0.341,1982,2,0.158,6,13.75,0,0,0,0
481,"Denver Nuggets",7,0.598,2005,1,0.074,-54.4,7.56,0,0,0,0
546,"Denver Nuggets",14,0.207,2003,-2,-0.122,-9,11.65,0,0,0,0
599,"Denver Nuggets",11,0.488,2001,-1,0.061,8,13.9,0,0,0,0
689,"Denver Nuggets",14,0.134,1998,-2,-0.122,-7.6,16.17,0,0,0,0
881,"Denver Nuggets",14,0.244,1991,-7,-0.28,5.4,12.09,0,0,0,0
901,"Denver Nuggets",7,0.524,1990,-1,-0.013,6.4,13.03,0,0,0,0
944,"Denver Nuggets",2,0.659,1988,6,0.208,4.7,13.01,0,0,0,1
991,"Denver Nuggets",3,0.573,1986,-1,-0.061,2.2,12.86,0,0,0,0
1082,"Denver Nuggets",4,0.561,1982,4,0.11,8.9,13.76,0,0,0,0
448,"Denver Nuggets",3,0.537,2006,4,-0.061,3.3,13.12,0,0,0,0
511,"Denver Nuggets",8,0.524,2004,6,0.317,2.5,15,0,0,0,0
572,"Denver Nuggets",12,0.329,2002,-1,-0.159,-5,10.05,0,0,0,0
627,"Denver Nuggets",10,0.427,2000,2,0.147,-21.3,10.6,0,0,0,0
658,"Denver Nuggets",12,0.28,1999,2,0.146,-15.2,11.63,0,0,0,0
715,"Denver Nuggets",12,0.256,1997,-2,-0.171,5.1,12.77,0,0,0,0
742,"Denver Nuggets",10,0.427,1996,-2,-0.073,-5.1,11.28,0,0,0,0
767,"Denver Nuggets",8,0.5,1995,0,-0.012,-11.2,11.01,1,0,0,0
794,"Denver Nuggets",8,0.512,1994,1,0.073,4.4,13.94,0,0,0,0
822,"Denver Nuggets",9,0.439,1993,2,0.146,-3.7,10.3,0,1,0,0
851,"Denver Nuggets",11,0.293,1992,3,0.049,7.7,12.2,0,0,0,0
925,"Denver Nuggets",6,0.537,1989,-4,-0.122,8.3,13.92,0,0,0,0
973,"Denver Nuggets",8,0.451,1987,-5,-0.122,-24.7,11.43,0,0,0,0
1012,"Denver Nuggets",2,0.634,1985,5,0.171,8.7,13.98,0,0,0,0
1039,"Denver Nuggets",7,0.463,1984,-1,-0.086,9.8,14.79,0,0,0,0
1061,"Denver Nuggets",6,0.549,1983,-2,-0.012,3.6,12.93,0,0,0,0
3,"Denver Nuggets",3,0.653,2021,0,0.023,3.7,12.9,0,0,0,0
33,"Denver Nuggets",3,0.63,2020,-1,-0.029,-10.2,11.55,0,0,0,0
62,"Denver Nuggets",2,0.659,2019,7,0.098,5.3,13.74,0,0,0,0
99,"Denver Nuggets",9,0.561,2018,0,0.073,2.3,12.74,0,0,0,0
129,"Denver Nuggets",9,0.488,2017,2,0.086,0,13.8,0,0,0,0
161,"Denver Nuggets",11,0.402,2016,1,0.036,3.1,15.23,0,0,0,0
192,"Denver Nuggets",12,0.366,2015,-1,-0.073,0.9,12.27,0,0,0,0
220,"Denver Nuggets",11,0.439,2014,-8,-0.256,4.9,12.82,0,0,0,0
241,"Denver Nuggets",3,0.695,2013,3,0.119,8.6,13.61,0,0,0,1
273,"Denver Nuggets",6,0.576,2012,-1,-0.034,5.9,15.27,0,0,0,0
302,"Denver Nuggets",5,0.61,2011,-1,-0.036,9,16.31,0,0,0,0
331,"Denver Nuggets",4,0.646,2010,-2,-0.013,5.4,14.73,0,0,0,0
359,"Denver Nuggets",2,0.659,2009,6,0.049,5.9,13.61,0,0,0,0
393,"Denver Nuggets",8,0.61,2008,-2,0.061,-3.9,11.99,0,0,0,0
421,"Denver Nuggets",6,0.549,2007,-3,0.012,-1.6,11.34,1,0,0,0
30,"Detroit Pistons",15,0.278,2021,-2,-0.025,-22.2,9.67,0,0,0,0
58,"Detroit Pistons",13,0.303,2020,-5,-0.197,5.3,13.06,0,0,0,0
83,"Detroit Pistons",8,0.5,2019,1,0.024,0.8,11.77,0,0,0,0
114,"Detroit Pistons",9,0.476,2018,1,0.025,-10,11.22,0,0,0,0
145,"Detroit Pistons",10,0.451,2017,-2,-0.086,-15.5,11.35,0,0,0,0
173,"Detroit Pistons",8,0.537,2016,4,0.147,-2.1,13.06,0,0,0,0
206,"Detroit Pistons",12,0.39,2015,-1,0.036,6.9,13.17,0,0,0,0
234,"Detroit Pistons",11,0.354,2014,0,0,1.6,13.04,0,0,0,0
263,"Detroit Pistons",11,0.354,2013,-1,-0.025,5.3,13.11,0,0,0,0
292,"Detroit Pistons",10,0.379,2012,1,0.013,7.9,13.66,0,0,0,0
323,"Detroit Pistons",11,0.366,2011,1,0.037,6.9,12.84,0,0,0,0
354,"Detroit Pistons",12,0.329,2010,-4,-0.147,4.4,14.06,0,0,0,0
379,"Detroit Pistons",8,0.476,2009,-6,-0.244,7.5,13.04,0,0,0,0
402,"Detroit Pistons",2,0.72,2008,-1,0.074,4.8,14.06,0,0,0,0
431,"Detroit Pistons",1,0.646,2007,0,-0.134,0,13.47,0,0,0,0
460,"Detroit Pistons",1,0.78,2006,1,0.121,4.5,14.6,1,0,0,0
491,"Detroit Pistons",2,0.659,2005,1,0,-2.4,13.19,1,0,0,0
547,"Detroit Pistons",1,0.61,2003,1,0,-7.7,11.79,1,0,0,0
612,"Detroit Pistons",10,0.39,2001,-3,-0.122,6.2,14.23,0,0,0,0
638,"Detroit Pistons",7,0.512,2000,-2,-0.068,4.7,12.17,0,0,0,0
665,"Detroit Pistons",5,0.58,1999,6,0.129,-1.5,10.77,0,0,0,0
722,"Detroit Pistons",5,0.659,1997,2,0.098,7.8,13.22,0,0,0,0
752,"Detroit Pistons",7,0.561,1996,5,0.22,2.4,13.31,0,0,0,0
836,"Detroit Pistons",10,0.488,1993,-5,-0.097,6.6,13.16,0,0,0,0
908,"Detroit Pistons",1,0.72,1990,0,-0.048,5.9,13.29,1,0,0,0
932,"Detroit Pistons",1,0.768,1989,1,0.109,-17,11.24,0,0,0,0
980,"Detroit Pistons",3,0.634,1987,2,0.073,-5.7,9.96,0,0,0,0
1004,"Detroit Pistons",5,0.561,1986,-1,0,-20.3,14.09,0,0,0,0
1048,"Detroit Pistons",4,0.598,1984,4,0.147,-10.9,9.83,0,0,0,0
1097,"Detroit Pistons",7,0.476,1982,4,0.22,-0.8,11.34,0,0,0,0
520,"Detroit Pistons",3,0.659,2004,-2,0.049,1.2,11,0,0,0,0
575,"Detroit Pistons",2,0.61,2002,8,0.22,-17.3,11.93,1,0,1,1
699,"Detroit Pistons",11,0.451,1998,-6,-0.208,-0.4,14.76,0,0,0,0
784,"Detroit Pistons",12,0.341,1995,2,0.097,7.2,12.2,0,0,0,0
813,"Detroit Pistons",14,0.244,1994,-4,-0.244,3,12.24,0,0,0,0
858,"Detroit Pistons",5,0.585,1992,-2,-0.025,0.1,12.13,0,0,0,0
884,"Detroit Pistons",3,0.61,1991,-2,-0.11,6.1,12.34,1,0,0,0
956,"Detroit Pistons",2,0.659,1988,1,0.025,7.7,13.84,0,0,0,0
